	distance	height	weight	role	hot	age	description	name	mate	online_state
0	0.02	178	67	1	10	24	有对象，拒绝任何勾搭🙃	我还爱着你--	4	1
1	0.02	175	60	1	148	22	不约	磁暴步兵	4	1
2	0.02	175	52	0.5	14	19		tinolee		2
3	0.02	175	60	1	32	22	英雄肝胆相照，江湖儿女日渐少.	Syourman		1
4	0.03	176	62	-1	311	21	Need a friend	Suckingm		1
5	0.03	185	73	0.5	17	19	十年饮冰，难凉热血	取个名字太难了--	2	1
6	0.03	173	56	0.5	26	18	"真人丑、幸有自知之明。
完美主义者，成了轮下鬼。
所愿所见非所得。虚无。
镜中望花，水中捞月。
触不可及的，才是美的。
刺破表象，不过是团败絮。"	AHahHah	2	2
7	0.04	178	55	0.5	306	21	其实想找一个伴侣挺难的 除了要两个人互相都有感情 还需要两个人合适才行 不仅仅是性格合适 还需要兴趣相投 需要各自的时间吻合 需要自己的各个方面不会触及到对方的容忍线   这么多事情 有哪一件是容易的呢	很麻烦的人	1	1
8	0.04	174	74	0	45	19	"uestc
不约 不约 不约"	阿西吧66	2	1
9	0.04	182	67	0.5	9	21	:-)	Soldier67	2	1
10	0.04	180	69	-1	35	18	"追求爱情  也享受单身。
永远活在当下  永远知道幸福在哪里。"	DontBeAnAsshole		2
11	0.04	120	30	-1	2	22	看直播。	一只蛋啊	1	1
12	0.04	180	60	-1	5	19		真丶单身汪	1	1
13	0.05	170	57	0	101	21	"
              找男友。颜控，肌肉控。
     欢迎勾搭。有大佬带我健身吗？
真的很烦已读不回。

微信：Rumble_beast"	有点作	2	1
14	0.05	180	65	0.5	11	21	Spideypool一生推。	java推倒javascript	1	1
15	0.05	170	60	-1	17	23	来看直播	BoyHitYourHallelujah	2	1
16	0.05	176	69	1	16	21	～	kanoli		1
17	0.05	172	62	0.5	130	21		月间草	1	1
18	0.05	177	68	0.5	164	22	"此地妖气太重，不宜久留😂
相册里的是网红"	林杨和周周	2	1
19	0.05	178	65	0.5	56	20	Too great an absorption in the past	enchanted		1
20	0.05	181	63	0.5	63	21	"

轻微外协 不过审美奇葩"	半城柳色半生笛		1
21	0.05	176	54	0.5	88	20	"一直讲究随缘。。。一直认为爱情这东西都是自己撞上来的。。。结果现在突然发现自己这么一个宅男，又不是很善于和人交流，实在是难以找到一个合适的人吧。。
一直觉得性格内在才是最重要的，但还是发现也不是所有长相都是能接受。。。还有貌似声音太娘也接受不了。。。
然后就是我自己，很瘦，长相也一般，有点懒，还不是很会说话。。。
写完自己看都感觉找不到人。。。

"	热闹中心的旁观者	2	1
22	0.05	165	54	0.5	5	20		just-3-	2	1
23	0.06	179	81	1	7	26	"图上不代表唯一口味。只要别太丑别太作，怎么都好说

招呼请带关注，低智无趣求别打扰。

至于约不约，首先您至少要让我对您有性欲吧。

微信请扫码，请自报家门"	天曰嘿嘿	1	0
24	0.06	171	60	-1	197	21	越努力越幸运	本命伊布	1	1
25	0.06	178	67	0.5	211	21	~@~	逸trade	1	1
26	0.06	177	65	-1	111	20		白mark	1	0
27	0.06	178	65	-1	39	23	慢慢	七羽七羽	1	1
28	0.06	179	69	0.5	10661	21	体会生活	曦城的风	1	1
29	0.06	175	61	-1	25	21		Smrtde	1	1
30	0.06	165	53	-1	195	20	"无趣/修炼ing/easygoing

比暖壶更平易近人。"	K1i	1	0
31	0.06	181	65	-1	10	19	@	粑粑里有毒		1
32	0.06	174	55	0	116	20	"倘若丢弃多年积攒的灵魂
只一副行走的皮囊
叫我怎么遇见你"	AlexHongGarcia	2	1
33	0.06	175	60	1	38	21		Nowaiting	1	1
34	0.07	179	67	0.5	2	18	我只是好奇来喵喵，没觉得我的头像是来砸场子的么😂  能找到一起学习（wanshua）的朋友也行咯~	希有年华	1	1
35	0.07	177	69	-1	32	19	Keep quiet	Cesicht	1	0
36	0.07	172	60	-1	21	21	学校的银杏叶又一年黄了……而我还是一样	红鲤鱼与绿鲤鱼与驴呔	2	1
37	0.07	178	73	1	21	21	🐶	不明白不知道		1
38	0.08	176	65	-1	57	21	人海茫茫	一点点倦	1	1
39	0.08	170	60	0.5	47	21		我在等待-		2
40	0.08	125	125	-1	16	19	忘记了你根本不会疼人	一起去流浪cc	1	1
41	0.08	168	60	0.5	14	18	.	二三亖	2	1
42	0.08	174	57	0	1516	18	"Waitting for the right person no matter how hard it will be or how long it will take. hope you are my destiny 
没照片就不要say嗨了 谢谢
我不娘 不作 不套路 希望你简单 直爽 就行
聊天之前请发照片 不然一概不回"	shyoketsu	2	1
43	0.08	173	63	0.5	3	20		QUNKP	2	1
44	0.08	176	69	-1	1	20	我真jb是个无趣的人	猪欢喜	1	1
45	0.09	174	65	-1	9	17	大二🐶for boyfriend	孤独是人生的礼物	2	1
46	0.09	170	60	1	20	21		VeryFat	4	1
47	0.09	170	55	0.5	16	18	思念在躲避，却依然逃不过回忆	bilifa	2	1
48	0.09	172	63	1	0	23		归初		0
49	0.09	175	63	-1	578	20	"一点点你的微笑，已经让我觉得温暖。
我还不懂坚持，正好让我学会去爱。

in UESTC
古诗词 / 音乐 / 日剧 
对戴眼镜留胡子的帅哥毫无抵抗力"	刺--	1	1
50	0.09	171	58	-1	1	24		heiheihaichongfu	1	0
51	0.09	173	53	-1	24	21	考研噜～	卜祀	4	1
52	0.09	177	60	-1	27	22	57	无奈是个渣		0
53	0.1	170	55	0.5	0	22		mike698	1	0
54	0.1	184	84	0.5	54	20	"我不会做，没做过。。就别找我约了啊！一点不会！。
虽然我长得一般但是我粗啊。
都这么大了都别矫情哈。
22以下别太太太太胖的和不娘的我都挺愿意和你们说话的。。"	Laurel	2	1
55	0.1	170	53	-1	205	21	 有班德尔城的嘛！！！    🙂	逗比金闪闪丶	1	1
56	0.1	180	65	-1	2	22	我没照片，勿扰不约。	NotIntoU	1	1
57	0.1	172	62	-1	1	22		nothing-else	2	2
58	0.1	182	66	-1	48	20	"👆我

啊
byebyebye

👋"	byeabyeabyea	2	1
59	0.1	170	50	0	33	20	"我要的那么简单，一场我喜欢你之于你喜欢我的爱情。。我想感受到你的温度。。我不想永远是一个人沉浸在自己的相思中。

终于明白爱情是两个人的事，愿那个人是你"	暮雨木欣	2	0
60	0.1	174	63	0.5	0	20		Sam20315		2
61	0.1	165	50	0	49	20		simple白	1	2
62	0.1	178	82	-1	38	22	要照片私信我。不想公开自己的照片，请见谅～	Hard2	2	2
63	0.1	138	190	1	363	75	"BAD BOY in UESTC.

no pic no chat.

in relationship
find interesting friends only."	风尘洋	4	1
64	0.1	180	65	0	4	20		快羽神光		1
65	0.1	172	52	0	55	20		佐拥鼬抱		1
66	0.1	178	65	0.5	129	19	不好看	Niiokk		1
67	0.11	168	53	0	79	20	@	CSghhasd		1
68	0.11	180	65	0.5	7	20	.	darkness100	2	2
69	0.11	175	60	-1	30	20		SP小被	2	1
70	0.11	178	65	0.5	12	22	偶尔上来刷刷，不约，是时候从直男的坑里跳出来了。。每次都在自虐的生活真是自讨苦吃。	无垠01	1	1
71	0.11	183	70	1	132	19	"聊天先发照片，谢谢
不要问我喜欢什么样男人这种话，拒绝回答"	城困	2	1
72	0.11	173	65	-1	2	20	"                       就算我再去努力爱上谁

                             到头来 也是白费

                     不如永远跟你耗来得快乐

                                    对不对"	执妄生而百鬼行	1	1
73	0.11	172	55	0	6	20	"照片非本人。
不娘，不喜娘。
如果你颜值中上，快来撩我吧！哈哈😄
找男票。非常想脱单，非常想"	humanbeing233	1	0
