	distance	height	weight	role	hot	age	description	name	online_state
0	1.99	180	100	0	5	26	找猴子~qq191032965，微信okllsbmm加备注哦～	okllsbmm-	1
1	1.99	170	69	0.5	10	26	真诚以待快乐69，你快乐就是我快乐，不要问我要照片 更不要说你发我回那些骗人的把戏。来了请关注，谢谢！	风雨y	1
2	1.99	173	50	0.5	591	18	           时而变直，时而变腐	小鲜肉是直男	1
3	1.99	170	60	1	3	26	还是那句话，非诚勿扰	bluebu-	1
4	1.99	170	65	0.5	4	46	就怕，愛過以後還會失去，更怕,習慣以後難回最初:-* (^ω^)=☞  ★	许--永远	2
5	1.99	180	71	1	148	24	"✔本人找bf。除此之外，仅和有创业打算人聊天。

✔只喜欢两种类型的男人：温柔朴实型，成熟智慧型。其他勿扰。

✔微信：754185141。没有得到同意请尽量别加，因为加了我也不知道你是谁。
                         
✔本人喜欢游泳，爱好小说创作。有共同爱好的可聊。

✔照片是我本人，如果喜欢，请点左下方。"	庆站青年旅馆	1
6	1.99	175	68	0	3	26	人生短暂！请大家好好把握。对自己的生活好好真惜，勇往直前！敢爱敢做！珍惜眼前的一切吧！	昨天之恨丶	1
7	1.99	178	68	-1	0	29	人分三六九等…如果你的人品好…我很希望和你成为朋友…相反的就别打扰我了！	CG子羽丶	1
8	1.99	184	72	1	28	24	"
简简单单就好"	ApatheticDemon-	1
9	1.99	172	55	0.5	6	26	SAVE ME	ZacharyCz-	1
10	1.99	167	72	-1	0	26	当我对你穷追不舍的时候你视若无睹，当你对我恋恋不舍的时候我心灰意冷。求之不得，弃之不舍，得之不惜，人………就是这么贱	胺类M	1
11	1.99	178	65	-1	28	22	QQ3180628516	典痞子男	1
12	1.99	189	83	1	214	29	Life is not a theory about truth, is about an unforgettable lie.	SHIT中的野山椒丶	1
13	1.99	174	52	-1	1	23	"
！"	你好mm	1
14	1.99	178	68	-1	22	26	笑迎天下客，广交八方友，进来请关注 ，留下万缕情，同系你我心，梦思用真情，问君何时来，空守无眠夜，独观窗外月 ，夜夜到黎明 ，等君肝肠断 ，心灰意已冷 ……毒蛇和素质差请绕道！！！！！！	魅力等爱少	1
15	1.99	173	59	0	26	26	附近交朋友，吃喝玩乐！	着雨等待	1
16	1.99	175	82	1	1	26	立秋数日了，那些露着大腿 露着中大腿的帅老们，渐渐地减少了 ，等待2016露着中大腿的帅老	滴水穿	1
17	1.99	177	66	0.5	31	27	我很被动，无照不回，先发来再说，谢谢	墅小帅	1
18	1.99	182	80	0	43	28	我用十年青春，赴你最后之约！	醉逅霸道	1
19	1.99	175	65	-1	6	23	喜欢就关注吧	FrankJacqLan丶e	1
20	1.99	176	70	0	13	26	。。。	Olegburov	1
21	1.99	173	53	-1	2	26	爱你在心口难开。	被女妖迷惑的男人大	1
22	1.99	175	72	0.5	13	28	只要一个稳稳的幸福	夏洛洛的太	1
23	1.99	172	68	-1	46	30	诚心找中老，40以下请绕道，谢谢！诚可加Q.791718545.微信，h1***********	lz平安	1
24	1.99	175	60	0.5	5	23	"命运归命运，自己归自己。
不混圈，不折腾，不联系。
可以认识，但不可以违背。
         宁缺毋滥
拒绝任何形式的约炮
拒绝任何非检测性滥交
混圈的可以滚！
好好的等待。"	人山人	1
25	1.99	181	63	-1	49	26	双性恋 愿得一人心	Q最新佳人	1
26	1.99	174	55	0	38	27	"吃货，喜欢内裤和旅游；脾气古怪，性情温和。跟我相同兴趣的朋友就跟我打招呼吧。（＾ω＾）

微信：justin189 加的时候标注“blued”。

喜欢看起来比较1的1或者0.5，年龄35岁以下的都行。

头像是本人，请不要用假照片骗人，已经被骗怕的我经不起骗了。谢谢各位基友合作。"	a麦麦	1
27	1.99	178	69	-1	6	29	"三角恋！三人的幸福生活！
我喜欢听别人的故事，你可否讲给我听？"	卢西奥少男之恋丶	1
28	1.99	181	75	1	75	25	我不说，你不懂，这就是我们之间的距离！	宇J-	1
29	1.99	173	65	0	19	27	    有氧运动，挥汗如雨，释放自己，体味运动的自信。 峯健身，有去的朋友一起哈。本人是会员，不是教练，也不是会籍，只找志趣相投的朋友，不为健身房做广告。	爱在并州郎	1
30	1.99	168	50	-1	9	18	"用事がある私，QQ：1037560829
"	问我名字赵日	1
31	1.99	178	70	1	13	26	说话之前先发照，否则不回！	a男男1	2
32	1.99	172	63	-1	11	27	真诚，喜欢交朋友，喜欢旅游，找不错的哥们，兄弟。	7云在天上	1
33	1.99	170	62	-1	0	23	其实就是贱，......	今夜不会再有深	1
34	1.99	180	82	0.5	14	26	喜欢肉乎乎的	8喜熊狒肉肉	1
35	0.26	178	80	1	87	24		Gay987	1
36	0.27	176	65	0	722	28		pisceshugoboss	1
37	0.28	173	63	1	54	24	如果你缺爱，请投入我的怀抱，基电是你的港湾！	我是你额驸	1
38	0.28	170	64	1	191	24	最近又胖了，不能再悲伤	等一个梦话温常	1
39	0.29	174	60	-1	37	23	"活着，不易；缘分，难求

"	drawrof	1
40	0.31	172	60	-1	13	22		天悬霄河	1
41	0.32	220	180	-1	120	74	"等待有一个人

一个主动暖我的人"	请叫我六月	0
42	0.32	168	57	0.5	75	26	真诚交友，不约炮，非诚勿扰！	jamec	2
43	0.33	175	62	1	59	24	小受快来戳我哈哈～	哦斗	0
44	0.33	186	80	-1	12	25	嘿嘿嘿	iTroubleE	1
45	0.35	178	65	0.5	9	21		叫我红领巾	2
46	0.35	165	50	-1	62	22	爱的人只有一个	光明友谊	0
47	0.35	172	60	1	747	28	要照片的先发自己的  讨厌自以为是的	LB3585	1
48	0.35	176	60	0.5	4441	21		帅到深处自然gay	1
49	0.35	170	65	-1	2	17		whisperinghere	0
50	0.35	180	66	1	9	22	"新人，请多多关照

老的，胖的，矮的 勿扰！"	Eason_Rey	1
51	0.35	175	58	-1	90	17	" 想脱你衣服的人很多，想给你买衣服的人有吗？
想请你喝酒的人很多，喝醉照顾你的人有吗？ 
生病的时候关心的人很多，能带你去看病的人有吗？ 
追求你的人很多，愿意真心对你好照顾你的人有吗？ 
——到底哪些个朋友值得交往？时间会告诉你。。           
 友情提醒：不要把时间浪费在那些过客身上！"	纯哲	1
52	0.35	178	115	0	15	20	刚刚看完类似爱情2《只有我知》很是感动！也只有在这里写点自己的感触，同爱不被人认同，在剧情中就是身为自己的母亲为了拆散安子宴（孔垂楠）和麦丁（黄格礼）的爱情而割腕威胁，更有让自己的孩子选择家庭与爱情！种种困难为难着他们！其实不光是剧情在现实生活中有很多这样的例子阻碍着我们去寻找我们自己认为的爱情！这部电影我觉得最重要的是突出了安子宴爷爷的一句话，“作为父母你们不应该像世人那样还要去讽刺和嘲笑他们，从小孩子都是在父母的安排中长大，没有自我，现在自己的孩子真的碰到自己喜欢的就让他自己选择，你们应该大力支持，是吗	s肥熊出没	1
53	0.35	178	72	0.5	17	28	"想找个一起游泳的伴
微信1044251493"	灰太郎菓菓	1
54	0.35	168	62	-1	69	40	头像本人，均称普通老男人，希望象好基友那样交往，象BF那样固定唯一的sex。一次性、乱性、不kiss、不发照片或者发一次性照片的都不适合! 不要求身材，但希望五官分明。大家时间宝贵，只聊彼此合适的人，谢谢！----备注：Lover14不是jj长度，是爱人一世，那是曾经所向往的感情......	耐0加速度	1
55	0.35	178	72	0	4	25	"找阳光男生做男朋友，无照勿扰
在你使用假照片的同时对方可能也在用"	Findfound-	1
56	0.35	178	72	1	24	26	"偌大个青岛，真诚有品的，宽容厚道的，重情重义的，不矫情，不造作的素质gay，没有几个
我这么说一定会引起某些“不以为然君”的不屑和愤慨吧，请勿认真和对号入座！谢谢！
我有一份可以让我在这个城市立足的尚算受人尊重的工作，不高不低的硕士学历，有房有车，有自己事业上的知己和朋友，有自己的业余爱好和信仰追求，如果以朋友之道相处，我：随和，宽容，阳光，幽默，敞亮有分寸且有自知之明！
我没有特殊癖好，信奉君子之交贵在不功利，如果有缘让我们做彼此的灵魂上的知己，温暖彼此的人生！
这份缘不强求，不奢望！有，欣喜，无，坦然！"	心若静软件留着也没	1
57	0.35	182	64	0	59	23		逗比逗比就好	1
58	0.35	176	69	0.5	82	32		成熟男人没长大	1
59	0.35	178	60	-1	48	19	我想找个蓝色眼睛的外国男友～	攻无不1克	1
60	0.35	167	66	-1	2	26	想看我更多照片去这面看2896095091	风声39-	1
61	0.35	167	69	0.5	20	23	浮生、	大大大_默	1
62	0.35	176	63	-1	9	27	花自盛开，蝴蝶自来……（麻烦不要上来就要照片，乱七八糟的人勿扰，友情提示:不约，不419，谢谢！）	南柯一梦vk	1
63	0.35	167	60	-1	4	20	每个人的一生，大抵是在寻找一个最懂自己的人。而最懂你的，不一定最适合。	Deddede	1
64	0.35	178	80	0.5	35	38	想认识的可以加qq2066078247,或者微信1***********。	德兔	1
65	0.35	174	78	-1	22	27	"照片本人，70公斤以下的请自动忽视我……
好想躺床上一天，啥都不干………就干你…"	打撸面鲁l	1
66	0.35	179	68	0.5	123	25		杰西哥	1
67	0.35	175	62	0	9	26	2015年和想爱的人在一起	把心葬了吧	1
68	0.36	176	74	-1	3	26		ffgg斯里兰卡	1
69	0.36	176	60	1	106	28	只求不关注，谢谢。	G安之若素s	1
70	0.36	180	79	-1	75	31	平平淡淡，简简单单，聊就认真聊。曾经有过婚姻，现在单身，不打算再结婚，只想找个情投意合的朋友过完以后的人生。没有照片或者假照片的不要联系，浪费时间，浪费感情！谢谢！	累了王	1
71	0.36	173	60	-1	28	32	今晚求约	素质儿气男	1
72	0.36	175	70	0.5	6	22	太多的故事，改变我心里的位置。	超过回家	1
73	0.36	176	58	0	53	22	…	变大变小变	1
74	0.36	173	55	1	14	25	先让自己成为一个不讨厌的人，然后，再遇见一个无需取悦的人。我想，我们都会在这一生之中遇见一个温暖人，而自己也会因为那个人，想成为更好的人。	义乌中老	1
75	0.36	175	75	1	79	30	有朋友！不约！	搏命郎君	1
76	0.36	170	65	0.5	38	41		天圆地方t	1
77	0.36	178	69	0.5	11	18	"加微信ApuZhang225！
本人18，24岁以上勿扰！😊
希望多交朋友😁"	yaolizhong	1
78	0.37	176	57	-1	37	23	"🤖🤖🤖
无照勿扰"	ryhhgf	1
79	0.37	175	62	1	3	26	首先，你要有钱	ciskajbdjd	1
80	0.37	176	63	0.5	21	30		都在干什么啊	1
81	0.37	183	60	0	4	23	真心交友！约的勿拢！	才子萌猫P	1
82	0.37	172	65	0	46	40	最爱瘦1.   我公0        骗子mb胖子请绕行。头像本人有意联系。QQ1835093059	mgmgmg	1
83	0.37	183	67	-1	12	26	不要问猛不猛   试过你就会知道😁😁😁😁	一个感觉	1
84	0.37	180	65	0.5	5	22	______  你想的  你爱的    你牵挂的   都会输给对你好的   直接加微信1048090097	OK哦	1
85	0.37	186	85	-1	15	34	已有对象了  如有趣就来聊聊	憨憨熊	1
86	0.37	172	74	1	14	42	上来看看只找中年男士结实爱运动结友小小孩MB无扰，做一个静静的我！	走散在时光里的无暇	1
87	0.37	180	68	-1	4	24	寻男票，感觉对了就行，看对眼就行。	嘎嘎海噶	1
88	0.37	166	45	0.5	34	21	没有照片麻烦带上照打招呼。没照就麻烦别来了。	帅哥一枚69	1
89	0.37	170	54	0.5	101	19	照片本人，25岁以上勿扰（帅哥除外）。	夜夜夜夜撸	1
90	0.37	175	63	0.5	175	26	简简单单，做自己，我是胖子，我怕谁。	自由半	1
91	0.37	181	78	1	124	36	‖为饥渴而呐喊‖微信:indulgenc123	饥渴难耐的大电钻胸肌男	1
92	0.37	175	58	0	17	27		天空是黑的	1
93	0.37	183	63	0.5	11	26	找个男朋友，四个要求，高于175，不胖，比一般人帅，离我近，合适请打招呼。	小i你就不要想起我i	1
94	0.37	175	60	-1	9	20	假照的抓紧滚 别在这碍我眼 小贱货还在等什么	USER4043559	1
95	0.37	173	72	1	120	33	"非诚勿扰！虽致而立，我仍相信爱情，仍觉会找到一位合适的另一半共度一生！如果你也同样相信，就联系我吧，没准我就是你携手一生的那个人！
喜欢运动和旅游，小硕，外企上班，生活健康，追求高的生活品质！乱的，娘的，低俗的，请绕行，感谢！
对于感情，宁缺勿滥！
每个都有自己的理想型，“那个人”是自己一直努力而又达不到的一个标准，即使永不存在！而当适合的人真的站在面前时，自己又未必合适于对方！这就是G圈的围城......所以，对于我的另一半，只求阳光成熟，清瘦些；都是男人，请爷们一些！"	logaosuyebilo	1
96	0.37	174	65	0.5	2	29	"
每次看到你，嘴角总是不自觉得扬起微笑。只找1互飞。"	lovemagical	0
97	0.37	178	69	0.5	52	36	无照片，假照片就免开尊口吧	jfbjjgay	1
98	0.37	165	65	-1	1	24	QQ1014769060	果清香	1
99	0.37	181	63	1	49	26	我承认：我不算一个好男人，但也不坏,至少我没有心眼，不吝啬……	咖啡色的拉布拉多夫	1
100	0.37	175	65	1	24	18	哦	夏天的那个热啊	0
101	0.37	168	60	0.5	7	34	一路同行的人，彼此珍惜	我们大概	1
102	0.37	176	75	-1	20	28	年龄大的就不要加了，肥的也别加了。	Eryth	1
103	0.37	175	60	0.5	111	27		hymin	1
104	0.37	176	58	-1	1	26	              一次就好，我带你去看天荒地老。👬	VCsyzhjzll	1
105	0.38	168	56	0.5	48	29		ade007	1
